"United Arab Emirates March 29, 2020"
,Retail & recreation,-94%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-76%,Sun Feb 16,Sun Mar 29
,Parks,-89%,Sun Feb 16,Sun Mar 29
,Transit stations,-88%,Sun Feb 16,Sun Mar 29
,Workplaces,-64%,Sun Feb 16,Sun Mar 29
,Residential,+22%,Sun Feb 16,Sun Mar 29
"Finland March 29, 2020"
,Retail & recreation,-52%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-21%,Sun Feb 16,Sun Mar 29
,Parks,+48%,Sun Feb 16,Sun Mar 29
,Transit stations,-59%,Sun Feb 16,Sun Mar 29
,Workplaces,-25%,Sun Feb 16,Sun Mar 29
,Residential,+9%,Sun Feb 16,Sun Mar 29
"Fiji March 29, 2020"
,Retail & recreation,-39%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-25%,Sun Feb 16,Sun Mar 29
,Parks,-13%,Sun Feb 16,Sun Mar 29
,Transit stations,-59%,Sun Feb 16,Sun Mar 29
,Workplaces,+40%,Sun Feb 16,Sun Mar 29
,Residential,+40%,Sun Feb 16,Sun Mar 29
"France March 29, 2020"
,Retail & recreation,-88%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-72%,Sun Feb 16,Sun Mar 29
,Parks,-82%,Sun Feb 16,Sun Mar 29
,Transit stations,-87%,Sun Feb 16,Sun Mar 29
,Workplaces,-56%,Sun Feb 16,Sun Mar 29
,Residential,+18%,Sun Feb 16,Sun Mar 29
"Gabon March 29, 2020"
,Retail & recreation,-39%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-24%,Sun Feb 16,Sun Mar 29
,Parks,-25%,Sun Feb 16,Sun Mar 29
,Transit stations,-47%,Sun Feb 16,Sun Mar 29
,Workplaces,-15%,Sun Feb 16,Sun Mar 29
,Residential,+15%,Sun Feb 16,Sun Mar 29
"United Kingdom March 29, 2020"
,Retail & recreation,-85%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-46%,Sun Feb 16,Sun Mar 29
,Parks,-52%,Sun Feb 16,Sun Mar 29
,Transit stations,-75%,Sun Feb 16,Sun Mar 29
,Workplaces,-55%,Sun Feb 16,Sun Mar 29
,Residential,+15%,Sun Feb 16,Sun Mar 29
"Georgia March 29, 2020"
,Retail & recreation,-67%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-36%,Sun Feb 16,Sun Mar 29
,Parks,-24%,Sun Feb 16,Sun Mar 29
,Transit stations,-53%,Sun Feb 16,Sun Mar 29
,Workplaces,-38%,Sun Feb 16,Sun Mar 29
,Residential,+12%,Sun Feb 16,Sun Mar 29
"Ghana March 29, 2020"
,Retail & recreation,-15%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,+40%,Sun Feb 16,Sun Mar 29
,Parks,-15%,Sun Feb 16,Sun Mar 29
,Transit stations,-15%,Sun Feb 16,Sun Mar 29
,Workplaces,+40%,Sun Feb 16,Sun Mar 29
,Residential,+40%,Sun Feb 16,Sun Mar 29
"Greece March 29, 2020"
,Retail & recreation,-80%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-41%,Sun Feb 16,Sun Mar 29
,Parks,-55%,Sun Feb 16,Sun Mar 29
,Transit stations,-76%,Sun Feb 16,Sun Mar 29
,Workplaces,-53%,Sun Feb 16,Sun Mar 29
,Residential,+20%,Sun Feb 16,Sun Mar 29
"Guatemala March 29, 2020"
,Retail & recreation,-67%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-39%,Sun Feb 16,Sun Mar 29
,Parks,-53%,Sun Feb 16,Sun Mar 29
,Transit stations,-69%,Sun Feb 16,Sun Mar 29
,Workplaces,-39%,Sun Feb 16,Sun Mar 29
,Residential,+19%,Sun Feb 16,Sun Mar 29
Guinea-Bissau
,Retail & recreation,-50%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-11%,Sun Feb 16,Sun Mar 29
,Parks,-25%,Sun Feb 16,Sun Mar 29
,Transit stations,-40%,Sun Feb 16,Sun Mar 29
,Workplaces,-27%,Sun Feb 16,Sun Mar 29
,Residential,-40%,Sun Feb 16,Sun Mar 29
"Hong Kong March 29, 2020"
,Retail & recreation,-35%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,+40%,Sun Feb 16,Sun Mar 29
,Parks,-43%,Sun Feb 16,Sun Mar 29
,Transit stations,-45%,Sun Feb 16,Sun Mar 29
,Workplaces,-24%,Sun Feb 16,Sun Mar 29
,Residential,+16%,Sun Feb 16,Sun Mar 29
"Honduras March 29, 2020"
,Retail & recreation,-81%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-64%,Sun Feb 16,Sun Mar 29
,Parks,-59%,Sun Feb 16,Sun Mar 29
,Transit stations,-74%,Sun Feb 16,Sun Mar 29
,Workplaces,-46%,Sun Feb 16,Sun Mar 29
,Residential,+20%,Sun Feb 16,Sun Mar 29
"Croatia March 29, 2020"
,Retail & recreation,-82%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-57%,Sun Feb 16,Sun Mar 29
,Parks,-45%,Sun Feb 16,Sun Mar 29
,Transit stations,-74%,Sun Feb 16,Sun Mar 29
,Workplaces,-50%,Sun Feb 16,Sun Mar 29
,Residential,+15%,Sun Feb 16,Sun Mar 29
"Haiti March 29, 2020"
,Retail & recreation,-34%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-31%,Sun Feb 16,Sun Mar 29
,Parks,-19%,Sun Feb 16,Sun Mar 29
,Transit stations,-48%,Sun Feb 16,Sun Mar 29
,Workplaces,+40%,Sun Feb 16,Sun Mar 29
,Residential,+40%,Sun Feb 16,Sun Mar 29
"Hungary March 29, 2020"
,Retail & recreation,-66%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-43%,Sun Feb 16,Sun Mar 29
,Parks,-7%,Sun Feb 16,Sun Mar 29
,Transit stations,-53%,Sun Feb 16,Sun Mar 29
,Workplaces,-32%,Sun Feb 16,Sun Mar 29
,Residential,+10%,Sun Feb 16,Sun Mar 29
"Indonesia March 29, 2020"
,Retail & recreation,-47%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-27%,Sun Feb 16,Sun Mar 29
,Parks,-52%,Sun Feb 16,Sun Mar 29
,Transit stations,-54%,Sun Feb 16,Sun Mar 29
,Workplaces,-15%,Sun Feb 16,Sun Mar 29
,Residential,+15%,Sun Feb 16,Sun Mar 29
"Ireland March 29, 2020"
,Retail & recreation,-83%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-37%,Sun Feb 16,Sun Mar 29
,Parks,-59%,Sun Feb 16,Sun Mar 29
,Transit stations,-78%,Sun Feb 16,Sun Mar 29
,Workplaces,-52%,Sun Feb 16,Sun Mar 29
,Residential,+19%,Sun Feb 16,Sun Mar 29
"Israel March 29, 2020"
,Retail & recreation,-67%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,+40%,Sun Feb 16,Sun Mar 29
,Parks,-56%,Sun Feb 16,Sun Mar 29
,Transit stations,-61%,Sun Feb 16,Sun Mar 29
,Workplaces,-59%,Sun Feb 16,Sun Mar 29
,Residential,+30%,Sun Feb 16,Sun Mar 29
"India March 29, 2020"
,Retail & recreation,-77%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-65%,Sun Feb 16,Sun Mar 29
,Parks,-57%,Sun Feb 16,Sun Mar 29
,Transit stations,-71%,Sun Feb 16,Sun Mar 29
,Workplaces,-47%,Sun Feb 16,Sun Mar 29
,Residential,+22%,Sun Feb 16,Sun Mar 29
"Iraq March 29, 2020"
,Retail & recreation,-64%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-42%,Sun Feb 16,Sun Mar 29
,Parks,-48%,Sun Feb 16,Sun Mar 29
,Transit stations,-61%,Sun Feb 16,Sun Mar 29
,Workplaces,-55%,Sun Feb 16,Sun Mar 29
,Residential,+21%,Sun Feb 16,Sun Mar 29
"Italy March 29, 2020"
,Retail & recreation,-94%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-85%,Sun Feb 16,Sun Mar 29
,Parks,-90%,Sun Feb 16,Sun Mar 29
,Transit stations,-87%,Sun Feb 16,Sun Mar 29
,Workplaces,-63%,Sun Feb 16,Sun Mar 29
,Residential,+24%,Sun Feb 16,Sun Mar 29
"Jamaica March 29, 2020"
,Retail & recreation,-53%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-36%,Sun Feb 16,Sun Mar 29
,Parks,-50%,Sun Feb 16,Sun Mar 29
,Transit stations,-50%,Sun Feb 16,Sun Mar 29
